#  Bravais lattice: NaCl crystal structure (fcc)
#
# x 	 y 	 z 	 r 	 c #
#---	---	---	---	---#
-10.8	-16.2	-16.2	1.16	255
-10.8	-13.5	-13.5	1.16	255
-8.1	-16.2	-13.5	1.16	255
-8.1	-13.5	-16.2	1.16	255
-8.1	-16.2	-16.2	1.67	65208
-10.8	-13.5	-16.2	1.67	65208
-10.8	-16.2	-13.5	1.67	65208
-8.1	-13.5	-13.5	1.67	65208
-10.8	-16.2	-10.8	1.16	255
-10.8	-13.5	-8.1	1.16	255
-8.1	-16.2	-8.1	1.16	255
-8.1	-13.5	-10.8	1.16	255
-8.1	-16.2	-10.8	1.67	65208
-10.8	-13.5	-10.8	1.67	65208
-10.8	-16.2	-8.1	1.67	65208
-8.1	-13.5	-8.1	1.67	65208
-10.8	-16.2	-5.4	1.16	255
-10.8	-13.5	-2.7	1.16	255
-8.1	-16.2	-2.7	1.16	255
-8.1	-13.5	-5.4	1.16	255
-8.1	-16.2	-5.4	1.67	65208
-10.8	-13.5	-5.4	1.67	65208
-10.8	-16.2	-2.7	1.67	65208
-8.1	-13.5	-2.7	1.67	65208
-10.8	-16.2	0	1.16	255
-10.8	-13.5	2.7	1.16	255
-8.1	-16.2	2.7	1.16	255
-8.1	-13.5	0	1.16	255
-8.1	-16.2	0	1.67	65208
-10.8	-13.5	0	1.67	65208
-10.8	-16.2	2.7	1.67	65208
-8.1	-13.5	2.7	1.67	65208
-10.8	-16.2	5.4	1.16	255
-10.8	-13.5	8.1	1.16	255
-8.1	-16.2	8.1	1.16	255
-8.1	-13.5	5.4	1.16	255
-8.1	-16.2	5.4	1.67	65208
-10.8	-13.5	5.4	1.67	65208
-10.8	-16.2	8.1	1.67	65208
-8.1	-13.5	8.1	1.67	65208
-10.8	-16.2	10.8	1.16	255
-10.8	-13.5	13.5	1.16	255
-8.1	-16.2	13.5	1.16	255
-8.1	-13.5	10.8	1.16	255
-8.1	-16.2	10.8	1.67	65208
-10.8	-13.5	10.8	1.67	65208
-10.8	-16.2	13.5	1.67	65208
-8.1	-13.5	13.5	1.67	65208
